Time,Tx1Rx1_mag,Tx2Rx2_mag
0.0,0.31799160454073383,-0.3818030608458452
0.01,0.242034356571344,-0.43787298994760504
0.02,0.1771892947430378,-0.4841749921472599
0.03,0.13108257691767233,-0.5140444639026109
0.04,0.1059567638598733,-0.5256418458699037
0.05,0.09896756193195196,-0.5217616023601127
0.06,0.10411896123894865,-0.5081563197891458
0.07,0.11471817130878824,-0.4912940208999353
0.08,0.1253537168597645,-0.47639951132512187
0.09,0.1328835601247142,-0.4662835206661363
0.1,0.13642522372504193,-0.46109749461507415
0.11,0.13667624111595017,-0.45887999037807103
0.12,0.13500893176561118,-0.45659342416649445
0.13,0.13271235009352972,-0.45128141520355247
0.14,0.130576152445995,-0.4410094169446485
0.15,0.12882415887777948,-0.4253657827134188
0.16,0.12728637650121188,-0.4054517710226332
0.17,0.12566523948618447,-0.3834369494518981
0.18,0.12377326570466773,-0.3618731068224021
0.19,0.12166226057670387,-0.3430105463627533
0.2,0.11961840132968299,-0.3283174520144441
0.21,0.11805487716659822,-0.31828918543140505
0.22,0.11736994723517828,-0.3125226002217296
0.23,0.11783232164464581,-0.3099729733579592
0.24,0.1195194289048168,-0.3092950119946036
0.25,0.1223039308210612,-0.30916371100207707
0.26,0.12587985310717126,-0.30848724975521097
0.27,0.12982492313349045,-0.3064852011915822
0.28,0.1336848141583456,-0.3026755120731998
0.29,0.13704500145736015,-0.29682894145870203
0.3,0.13955990779273542,-0.2889109186844901
0.31,0.14094495126971057,-0.27900307183448014
0.32,0.14096869831295084,-0.26721678407920285
0.33,0.13947692352309504,-0.2536459739571823
0.34,0.1364489223575901,-0.23840086336719948
0.35,0.13205826986510327,-0.22170639681576101
0.36,0.12669921631188671,-0.20398610779510057
0.37,0.12095088526415408,-0.18585133863675743
0.38,0.11548417849502776,-0.16799408593885812
0.39,0.1109473176817297,-0.1510708927221817
0.4,0.10786532082438706,-0.1356652568264963
0.41,0.10656642677458239,-0.12231737630550507
0.42,0.10714063526884512,-0.111527206682114
0.43,0.10944262003291075,-0.10366963047428682
0.44,0.1131428574758865,-0.09886386766377199
0.45,0.11780676851707776,-0.09689096480588125
0.46,0.12297188932866233,-0.09720778413565562
0.47,0.1282030883638528,-0.09902473646085679
0.48,0.13311578203165644,-0.10138100562248366
0.49,0.13736456137961564,-0.10319159085541564
0.5,0.14061115237781463,-0.10330614889962296
0.51,0.14250376211534307,-0.10063864359925122
0.52,0.1427012622266712,-0.09438068513264782
0.53,0.14095578328814237,-0.08424192235470603
0.54,0.1372324523182156,-0.0706162779581326
0.55,0.13180975795849406,-0.05457971482216235
0.56,0.12529555947218451,-0.037686371816596086
0.57,0.1185270338458601,-0.021612125777740975
0.58,0.11237609519348322,-0.00774577640625418
0.59,0.10752100646517285,0.0031677030245725346
0.6,0.1042572452787672,0.011242346845232088
0.61,0.10241115555628338,0.017453545337655856
0.62,0.10139514944850045,0.023396160605008404
0.63,0.10040403634234217,0.030842019889697363
0.64,0.09869729192380375,0.04122442231349274
0.65,0.09585983623692532,0.055218651402526825
0.66,0.09192549913043586,0.0725582933787613
0.67,0.08730580711072168,0.09214939570576447
0.68,0.08256363287601498,0.11245563675223098
0.69,0.07814995879668588,0.1320424820491035
0.7,0.07424081403351795,0.15009725632030096
0.71,0.07076145585292254,0.1667210765045601
0.72,0.06758751993253675,0.18285422082948966
0.73,0.06481527060570369,0.1998371281981362
0.74,0.06294872212600439,0.21876347098931131
0.75,0.06288180279385361,0.2398806324164067
0.76,0.06563819576267131,0.26229229792971914
0.77,0.07193856672640792,0.28411136921988217
0.78,0.08176289940497573,0.30303677720894867
0.79,0.09411367102646946,0.317155291161639
0.8,0.10711602413277152,0.32566969464064854
0.81,0.1184348884498902,0.32926792389288934
0.82,0.12584689251028616,0.32997151203633696
0.83,0.12776994881804465,0.3304940543285745
0.84,0.12362091680061082,0.3333310112790627
0.85,0.11395844028424479,0.3399143195607386
0.86,0.10040663713920456,0.35014934210395954
0.87,0.08534869824088878,0.3625126134518277
0.88,0.07138063987968742,0.3746834983747445
0.89,0.06058353467080227,0.38448431290420754
0.9,0.05382217071833415,0.39077405840635066
0.91,0.05041177769274036,0.39393531949081934
0.92,0.048426447147396655,0.39574106341431853
0.93,0.04559380903105413,0.39864528360818124
0.94,0.040354120904782326,0.40479582804802533
0.95,0.03256160314359709,0.41519871299391325
0.96,0.023527859642074603,0.42940123293217636
0.97,0.015447401720766972,0.4458232191697584
0.98,0.01049085682179242,0.4625632286587998
0.99,0.009940240955801665,0.4782930339909775
1.0,0.013701344082315731,0.4928337077853981
1.01,0.02038029078881455,0.5071769938710811
1.02,0.027884183659252958,0.5229787317029587
1.03,0.034282474744697526,0.5417757875061786
1.04,0.03854195447771842,0.5642712053952176
1.05,0.040791993069821224,0.5899730791202091
1.06,0.04200788166888549,0.6172991927202077
1.07,0.04332132716064267,0.6440543611832225
1.08,0.04536316967531251,0.6680576218090231
1.09,0.04796401252269048,0.6876942492447428
